id;name;type;ipadd;site_code;area_code;address;city;description
61;Manggung;KK;172.16.7.0/24;057;006;Manggung;Yogyakarta;
62;RSUD Yogyakarta;KK;172.16.52.0/24;058;006;Komplek RSUD Kodya, Jl Wirosaban;Yogyakarta;
63;Wirobrajan;KCP;172.16.6.0/24;059;006;Jl. Bugisan No. 30 Patangpuluhan;Yogyakarta;
64;Prawirotaman;KCP;172.16.9.0/24;060;006;Jl. Parangtritis No. 105;Yogyakarta;
65;Widya Mataram;KK;172.16.14.0/24;061;006;Kadipaten No 4, Kelurahan Kadipaten;Yogyakarta;
66;Balaikota Yogya;KK;172.16.55.0/24;062;006;Komplek Balaikota Yogya Jl. Timoho Yogyakarta;Yogyakarta;
67;Giwangan;KK;172.16.58.0/24;063;056;Jl. Imogiri Timur No. 155 Giwangan Yogyakarta;Yogyakarta;
68;Gedongkuning;KK;172.16.57.0/24;064;056;Jl. Gedongkuning Utara No. 148 Yogyakarta;Yogyakarta;
69;Tlagareja;KK;172.16.59.0/24;065;044;Jl. Godean, Banyuraden, Gamping, Sleman;Yogyakarta;
70;Sendangadi;KK;172.16.60.0/24;066;005;Jl. Magelang KM 8 No. 85 Mulungan Wetan, Mlati, Sleman;Sleman;
71;UNY;KK;172.16.67.0/24;067;042;Jl. Gejayan No.16 Sleman;Yogyakarta;
72;RSUP Dr. Sardjito;KK;172.16.40.0/24;068;001;Kompleks RSUP Dr. Sardjito;Yogyakarta;
73;Palagan;KK;172.16.68.0/24;069;001;Jl. Palagan Tentara Pelajar 92 D Ngaglik, Sleman;Yogyakarta;
74;Dirjen Pajak Yogyakarta;KK;172.16.71.0/24;070;001;Jl Lingkar Utara;Yogyakarta;
75;Baturetno;KK;172.16.72.0/24;071;029;Ngipik Baturetno Bantul;Bantul;
76;Pengasih;KK;172.16.75.0/24;072;003;Serang Sendangsari Pengasih;Kulon Progo;
77;KKPD Bantul;KK;;073;004;Jl Bedagan Bantul;Bantul;
78;KPPD Yogyakarta;KK;;074;001;Jl Tentara Pelajar 13;Yogyakarta;
79;Universitas Janabadra;KK;;075;006;Jl Tentara Rakyat Mataram No 55;Yogyakarta;
80;KPPD Sleman;KK;;076;005;Jl Magelang Km 12 Triharjo;Sleman;
81;Instiper;KK;172.16.123.0/24;077;049;Jl Nangka Maguwoharjo Depok;Sleman;
82;KKP Bantul;KK;;078;004;Jl Urip Sumoharjo Gose;Bantul;
83;Universitas Mercu Buana;KK;172.16.127.0/24;079;004;Jl Wates KM 10 Sedayu;Bantul;
84;KPPD Kulon Progo;KK;;080;003;Jl Bhayangkara Wates;Kulon Progo;
85;KPPD Gunung Kidul;KK;;081;002;Jl Ki Hajar Dewantara;Gunungkidul;
86;Panggang;KK;172.16.80.0/24;082;013;Panggang Gunung Kidul;Gunungkidul;
87;Beringharjo;KK;172.16.84.0/24;083;006;Pasar Beringharjo;Yogyakarta;
88;Rongkop;KCP;172.16.87.0/24;084;002;Rongkop;Gunungkidul;
89;Kasongan;KK;172.16.76.0/24;085;004;Kasongan;Bantul;
90;KPP Pratama;KK;;086;003;Jl. Khuouri No. 53 ;Kulon Progo;
91;UKDW;KK;172.16.89.0/24;087;001;Jl. Dr. Wahidin No 5-12;Yogyakarta;
92;KPP Pratama;KK;;088;006;Jl.Kusumanegara No.11;Yogyakarta;
93;UGM;KK;172.16.83.0/24;089;001;Komplek UGM, Bulaksumur;Yogyakarta;
94;GKN;KK;172.16.92.0/24;090;006;Jl. Kusumanegara No.11;Yogyakarta;
95;Sidoarum;KK;172.16.95.0/24;091;043;Jl Godean KM 6.5 Ruko Sidoarum No 2-3;Sleman;
96;Tepus;KK;172.16.96.0/24;092;002;Bintaos RT. 02 RW. 02 Ds. Sidoharjo;Gunungkidul;
97;Ngawen;KK;172.16.97.0/24;093;011;Desa Kampung Kecamatan Ngawen Gunung Kidul;Gunungkidul;
98;Pandak;KK;172.16.100.0/24;094;032;Jl Raya Srandakan Bantul;Bantul;
99;Pundong;KK;172.16.101.0/24;095;030;Ds. Srihardono Kec. Pundong, Bantul;Bantul;
100;Lendah;KK;172.16.102.0/24;096;021;Ds. Ngentakrejo Kec. Lendah, Kulonprogo;Bantul;
101;Prambanan;KCP;172.16.21.0/24;097;005;Jl. Raya Piyungan-Prambanan, Komplek Ruko Prambanan 7;Sleman;
102;Bambanglipuro;KK;172.16.103.0/24;098;036;Plumbangan, Sumbermulyo, Bambanglipuro;Bantul;
103;Kokap;KK;172.16.105.0/24;099;003;Ngaseman RT.26 / RW.07 Hargorejo;Gunungkidul;
104;Girisubo;KK;172.16.106.0/24;100;084;Ds. Jerukwudel Kec. Girisubo;Gunungkidul;
105;Cangkringan;KK;172.16.107.0/24;101;041;Jetis, Argomulyo, Cangkringan;Sleman;
106;UIN;KK;172.16.108.0/24;102;001;Campus Student Center UIN Sunan Kalijaga Jl. Marsda Adi Sucipto;Yogyakarta;
107;Samigaluh;KK;172.16.109.0/24;103;022;Jetis, Gerbosari, Samigaluh;Kulon Progo;
108;Jetis;KK;172.16.110.0/24;104;030;Dk. Nogosari Sumberagung;Bantul;
109;Panjatan;KK;172.16.111.0/24;105;024;Garongan, Panjatan;Kulon Progo;
110;Samsat Pembantu;KK;;106;005;Jl. Laksda Adisucipto Km 10;Sleman;
111;Samsat Pembantu;KK;;107;004;Jl. Parangtritis KM. 5;Bantul;
112;Kompleks II Pemda Kab. Bantul;KK;;108;004;Jl. Gadjah Mada No. 1;Bantul;
113;KPP Pratama Wonosari;KK;172.16.119.0/24;109;002;Jl. KH. Agus Salim No. 170 B;Gunungkidul;
114;DPPKA Pemprov DIY;KK;;110;001;Gedung DPPKA Komplek Kepatihan;Yogyakarta;
115;Paviliun Ayodya RSUP Dr. Sardjito;KK;;111;001;Paviliun Ayodya Komplek RSUP Dr. Sardjito, Jl.Kesehatan Sekip;Yogyakarta;
116;Mikro Makaryo Pasar Imogiri;KK;;112;004;Komplek Pasar Imogiri, Jl. Imogiri Timur KM. 15;Bantul;
117;Mikro Makaryo Pasar Piyungan;KK;;113;004;Komplek Pasar Piyungan, Jl. Wonosari KM.14;Bantul;
118;Mikro Makaryo Pasar Niten;KK;;114;004;Komplek Pasar Niten Jl. Bantul KM.5;Bantul;
119;Mikro Makaryo Pasar Argosari;KK;;115;002;Komplek Pasar Argosari, Jl. Brigjen Katamso;Gunungkidul;
120;Batan;KK;172.16.85.0/24;116;001;Komplek Kantor Batan, Jl. Babarsari ;Sleman;
121;Kas Mobil Kantor Cabang Wonosari;KK;;117;002;Jl. Brigjen Katamso No. 4;Gunungkidul;
122;Kas Mobil Kantor Cabang Sleman;KK;;118;005;Jl. Magelang Km. 11 Tridadi;Sleman;
123;Kas Mobil Kantor Cabang Utama;KK;;119;002;Jl. Tentara Pelajar No. 7 ;Yogyakarta;
124;Kas Mobil Kantor Cabang Senopati;KK;;120;006;Jl. P. Senopati No. 5-7;Yogyakarta;
125;Kas Mobil Kantor Cabang Bantul;KK;;121;004;Jl. Jend. Sudirman No. 2A;Bantul;
126;Kas Mobil Kantor Cabang Wates;KK;;122;003;Jl. Stasiun No. 1;Wates;
127;Dlingo;KK;172.16.114.0/24;123;029;Pancuran, Terong, Dlingo;Bantul;
128;Al Azhar 31;KK;;124;001;Jl. Ringroad Utara;Sleman;
129;Minggir;KK;172.16.115.0/24;125;043;Jalan Balangan, Sendangrejo, Minggir;Sleman;
130;RSUD Prambanan;KK;172.16.130.0/24;126;040;Jl. Prambanan - Piyungan;Sleman;
131;AM Sangaji;KK;172.16.116.0/24;127;006;Jl. Am Sangaji No. 49-51 ;Yogyakarta;
132;Samsat Galeria Mall;KK;;128;001;Jl. Prof Yohanes;Sleman;
133;Taspen;KK;172.16.124.0/24;129;006;Jl. Ipda Tut Harasono Timoho No.55;Yogyakarta;
134;Pajangan;KK;172.16.121.0/24;130;004;Jl. Raya Pajangan Dusun Benyo Sendangsari Pajangan Bantul;Bantul;
135;Pantirapih;KK;172.16.122.0/24;131;006;Jl. Cik Ditiro No. 30;Yogyakarta;
136;Tugu Pensil Sentolo;KK;172.16.126.0/24;134;023;;Kulon Progo;
137;Dr Yap;KK;172.16.78.0/24;135;006;Jl. Cik Ditiro No. 5, Yogyakarta;Yogyakarta;
138;Universitas Sarjanawiyata Tamansiswa;KK;172.16.129.0/24;141;001;Jl. Tamansiswa;Yogyakarta;
139;Akprind;KK;172.16.34.0/24;144;001;Jl. Kalisahak No 28 Gondokusuman Yogyakarta;Yogyakarta;
140;Kantor Kas UTY;KK;172.16.135.0/24;145;006;Jl. Ringroad Utara, Jombor, Sendangadi Mlati Sleman;Yogyakarta;
141;Kantor Kas RS Pratama Kota;KK;172.16.136.0/24;146;006;Jl. Kolonel Sugiono No 98, Karanganyar, Mergangsan, Yogyakarta;Yogyakarta;
142;Samsat Dishub Sleman;KK;;147;005;;Sleman;
143;Samsat Desa Banyurejo;KK;;148;005;;Sleman;
144;Unit Usaha Syariah;KC;172.16.69.0/24;800;000;Jl. Cik Ditiro;Yogyakarta;
145;Utama Syariah;KC;172.16.69.0/24;801;001;Jl. Cik Ditiro;Yogyakarta;
146;AMC;KK;172.16.82.0/24;802;001;Gedung Asri Medical Center Lt 1, Jl. Hos Cokroaminoto No 17;Yogyakarta;
147;Krapyak;KK;172.16.93.0/24;803;001;Jl. KH Ali Maksum No 378A Krapyak;Yogyakarta;
148;Kusumanegara;KK;172.16.94.0/24;804;001;Jl. Kusumanegara No 143;Yogyakarta;
149;Maguwoharjo;KK;172.16.31.0/24;805;001;Pasar Stan Maguwoharjo Depok;Sleman;
150;UMY;KK;172.16.112.0/24;806;001;Kampus UMY;Bantul;
151;Wonosari Syariah;KCP;172.16.117.0/24;807;001;Jl. Wonosari;Gunungkidul;
152;Godean Syariah;KCP;172.16.26.0/24;808;001;Jl. Godean;Sleman;
153;UII Syariah;KK;172.16.81.0/24;809;001;Kampus Terpadu UII, Jl. Kaliurang KM 14,5;Sleman;
