"id";"name";"type";"location";"city";"description";"ipadd";"site_code";"area_code";"tagline"
44;"Kalasan";"KCP";"Jl. Yogya-Solo, KM. 14 Tirtomartani, Kalasan";"Sleman";"";"172.16.98.0/24";"040";"005";""
45;"Pakem";"KCP";"Jl. Kaliurang Km. 17,5, Tegalsari, Pakembinangun, Pakem";"Sleman";"";"172.16.27.0/24";"041";"005";""
46;"Condongcatur";"KCP";"Jl. Ringroad Utara, Mancasan Kidul, Dero, Condongcatur";"Sleman";"";"172.16.28.0/24";"042";"005";""
47;"Godean";"KCP";"Jl. Godean, Sidoagung, Godean";"Sleman";"";"172.16.26.0/24";"043";"005";""
48;"Gamping";"KCP";"Komplek Ruko Pelemgurih Kav. 7, Banyuraden, Gamping";"Sleman";"";"172.16.29.0/24";"044";"005";""
49;"RSUD Sleman";"KK";"Komplek Rsud Sleman, Jl. Magelang KM 13, Morangan";"Sleman";"";"172.16.61.0/24";"045";"005";""
50;"Tempel";"KCP";"Jl. Magelang Km 17, Margorejo, Tempel";"Sleman";"";"172.16.33.0/24";"046";"005";""
51;"Mlati";"KCP";"Jl. Kebon Agung km 3, Tlogoadi, Mlati";"Sleman";"";"172.16.30.0/24";"047";"005";""
52;"Ngaglik";"KCP";"Jl. Kaliurang, Gentan, Sinduharjo, Ngaglik";"Sleman";"";"172.16.32.0/24";"048";"005";""
53;"Maguwoharjo";"KCP";"Pasar Stan, Maguwoharjo, Depok";"Sleman";"";"172.16.31.0/24";"049";"005";""
54;"Turi";"KK";"Jl. Raya Turi Pakem, Donokerto, Turi";"Sleman";"";"172.16.49.0/24";"050";"005";""
55;"Moyudan";"KK";"Ngijon, Sumber Agung, Moyudan";"Sleman";"";"172.16.48.0/24";"051";"043";""
56;"Sayegan";"KK";"Ruko Margomulyo No 33-66, Jl. Godean, Tempel";"Sleman";"";"172.16.54.0/24";"052";"043";""
57;"Ngemplak";"KK";"Kios Desa Widodomartani, Ngemplak";"Sleman";"";"172.16.50.0/24";"053";"041";""
58;"Berbah";"KK";"Sanggrahan, Tegaltirto, Berbah";"Sleman";"";"172.16.65.0/24";"054";"040";""
59;"Sembada";"KK";"Gedung BPKKD Lantai 1, Jl. Parasamya, Beran";"Sleman";"";"172.16.53.0/24";"055";"005";""
60;"Kotagede";"KCP";"Jl. Kemasan, Prenggan, Kotagede";"Yogyakarta";"";"172.16.5.0/24";"056";"006";""
61;"Manggung";"KK";"Jl. Kaliurang km 6,3, Manggung";"Yogyakarta";"";"172.16.7.0/24";"057";"006";""
62;"RSUD Kota";"KK";"Komplek RSUD Kodya, Jl Wirosaban No. 1";"Yogyakarta";"";"172.16.52.0/24";"058";"006";""
63;"Wirobrajan";"KCP";"Jl. Bugisan no. 38, Patangpuluhan";"Yogyakarta";"";"172.16.6.0/24";"059";"006";""
64;"Prawirotaman";"KCP";"Jl. Parangtritis No. 55, Brontokusuman, Mergangsan";"Yogyakarta";"";"172.16.9.0/24";"060";"006";""
65;"Widyamataram";"KK";"Jl. Polowijan No. 15, Patehan, Kraton";"Yogyakarta";"";"172.16.14.0/24";"061";"006";""
