"id";"ipadd1";"ipadd2";"isp";"bandwidth";"media";"services";"status";"ipadd_others";"vrf_name";"links_name";"sites1_id";"sites2_id";"isp_link_id";"input_date"
78;"10.111.1.182/30";"10.111.1.181/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Sedayu-Lintasarta";39;1;"";"2018-11-30 03:47:53.225845"
79;"10.115.1.182/30";"10.115.1.181/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Sedayu-ICON";39;2;"";"2018-11-30 03:47:53.225845"
80;"10.115.1.46/30";"10.115.1.45/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Binangun-ICON";32;2;"";"2018-11-30 03:47:53.225845"
81;"10.111.1.154/30";"10.111.1.153/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Moyudan-Lintasarta";55;1;"";"2018-11-30 03:47:53.225845"
82;"10.111.1.142/30";"10.111.1.141/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Turi-Lintasarta";54;1;"";"2018-11-30 03:47:53.225845"
83;"10.111.1.150/30";"10.111.1.149/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Ngemplak-Lintasarta";57;1;"";"2018-11-30 03:47:53.225845"
84;"10.111.1.178/30";"10.111.1.177/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Sanden-Lintasarta";43;1;"";"2018-11-30 03:47:53.225845"
85;"10.111.1.10/30";"10.111.1.9/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"RSUD Kota-Lintasarta";62;1;"";"2018-11-30 03:47:53.225845"
86;"10.111.1.6/30";"10.111.1.5/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Sembada-Lintasarta";59;1;"";"2018-11-30 03:47:53.225845"
87;"10.111.1.134/30";"10.111.1.133/30";"Lintasarta";128;"ADSL";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Sayegan-Lintasarta";56;1;"";"2018-11-30 03:47:53.225845"
88;"10.115.1.162/30";"10.115.1.161/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Balaikota-ICON";66;2;"";"2018-11-30 03:47:53.225845"
89;"10.111.1.14/30";"10.111.1.13/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Gabusan-Lintasarta";38;1;"";"2018-11-30 03:47:53.225845"
90;"10.111.1.58/30";"10.111.1.57/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Gedongkuning-Lintasarta";68;1;"";"2018-11-30 03:47:53.225845"
91;"10.111.1.62/30";"10.111.1.61/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Giwangan-Lintasarta";67;1;"";"2018-11-30 03:47:53.225845"
92;"10.111.1.66/30";"10.111.1.65/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Tlagareja-Lintasarta";69;1;"";"2018-11-30 03:47:53.225845"
93;"10.111.1.70/30";"10.111.1.69/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Sendangadi-Lintasarta";70;1;"";"2018-11-30 03:47:53.225845"
94;"10.111.1.74/30";"10.111.1.73/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"RSUD Sleman-Lintasarta";49;1;"";"2018-11-30 03:47:53.225845"
95;"10.111.1.86/30";"10.111.1.85/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Patuk-Lintasarta";22;1;"";"2018-11-30 03:47:53.225845"
96;"10.115.1.98/30";"10.115.1.97/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Paliyan-ICON";23;2;"";"2018-11-30 03:47:53.225845"
97;"10.115.1.102/30";"10.115.1.101/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Nglipar-ICON";21;2;"";"2018-11-30 03:47:53.225845"
98;"10.117.1.102/30";"10.117.1.101/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Nglipar-Telkom";21;3;"";"2018-11-30 03:47:53.225845"
99;"10.111.1.242/30";"10.111.1.241/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Berbah-Lintasarta";58;1;"";"2018-11-30 03:47:53.225845"
100;"10.115.1.242/30";"10.115.1.241/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Berbah-ICON";58;2;"";"2018-11-30 03:47:53.225845"
101;"10.111.1.250/30";"10.111.1.249/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"RSUD Bantul-Lintasarta";35;1;"";"2018-11-30 03:47:53.225845"
102;"10.111.1.254/30";"10.111.1.253/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"UNY-Lintasarta";71;1;"";"2018-11-30 03:47:53.225845"
103;"10.111.1.82/30";"10.111.1.81/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Palagan-Lintasarta";73;1;"";"2018-11-30 03:47:53.225845"
104;"10.117.5.2/30";"10.117.5.1/30";"Telkom";512;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Syariah-Telkom";145;3;"";"2018-11-30 03:47:53.225845"
105;"10.111.5.2/30";"10.111.5.1/30";"Lintasarta";512;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Syariah-Lintasarta";145;1;"";"2018-11-30 03:47:53.225845"
106;"10.117.6.218/30";"10.117.6.217/30";"Telkom";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"UPTSA Wonosari 1-Telkom";24;3;"";"2018-11-30 03:47:53.225845"
107;"10.111.5.10/30";"10.111.5.9/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"DJP DIY-Lintasarta";74;1;"";"2018-11-30 03:47:53.225845"
108;"10.111.5.14/30";"10.111.5.13/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Baturetno-Lintasarta";75;1;"";"2018-11-30 03:47:53.225845"
109;"10.111.5.18/30";"10.111.5.17/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"UPN-Lintasarta";12;1;"";"2018-11-30 03:47:53.225845"
110;"10.111.5.22/30";"10.111.5.21/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"KPP Bantul-Lintasarta";82;1;"";"2018-11-30 03:47:53.225845"
111;"10.115.5.30/30";"10.115.5.29/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Pengasih-ICON";76;2;"";"2018-11-30 03:47:53.225845"
112;"10.111.5.238/30";"10.111.5.237/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Kasongan-Lintasarta";89;1;"";"2018-11-30 03:47:53.225845"
113;"10.115.6.162/30";"10.115.6.161/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Yap-ICON";137;2;"";"2018-11-30 03:47:53.225845"
114;"10.111.5.42/30";"10.111.5.41/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"RSUD Wates-Lintasarta";29;1;"";"2018-11-30 03:47:53.225845"
115;"10.115.5.46/30";"10.115.5.45/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Panggang-ICON";86;2;"";"2018-11-30 03:47:53.225845"
116;"10.115.6.170/30";"10.115.6.169/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"UII-ICON";153;2;"";"2018-11-30 03:47:53.225845"
117;"10.111.6.170/30";"10.111.6.169/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"UII-Lintasarta";153;1;"";"2018-11-30 03:47:53.225845"
118;"10.111.5.54/30";"10.111.5.53/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"AMC-Lintasarta";146;1;"";"2018-11-30 03:47:53.225845"
119;"10.111.6.10/30";"10.111.6.9/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"UGM-Lintasarta";93;1;"";"2018-11-30 03:47:53.225845"
120;"10.111.5.62/30";"10.111.5.61/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Beringharjo-Lintasarta";87;1;"";"2018-11-30 03:47:53.225845"
