"id";"ipadd1";"ipadd2";"isp";"bandwidth";"media";"services";"status";"ipadd_others";"vrf_name";"links_name";"sites1_id";"sites2_id";"isp_link_id";"input_date"
150;"10.111.6.46/30";"10.111.6.45/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"UAD-Lintasarta";156;1;"";"2018-11-30 03:47:53.225845"
151;"10.115.6.58/30";"10.115.6.57/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Dlingo-ICON";127;2;"";"2018-11-30 03:47:53.225845"
152;"10.115.6.62/30";"10.115.6.61/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Minggir-ICON";129;2;"";"2018-11-30 03:47:53.225845"
153;"10.115.6.66/30";"10.115.6.65/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"AM Sangaji-ICON";131;2;"";"2018-11-30 03:47:53.225845"
154;"10.115.6.70/30";"10.115.6.69/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Wonosari Syariah-ICON";151;2;"";"2018-11-30 03:47:53.225845"
155;"10.117.6.70/30";"10.117.6.69/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Wonosari Syariah-Telkom";151;3;"";"2018-11-30 03:47:53.225845"
156;"10.111.6.74/30";"10.111.6.73/30";"Lintasarta";128;"ADSL";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Argosari-Lintasarta";119;1;"";"2018-11-30 03:47:53.225845"
157;"10.111.6.78/30";"10.111.6.77/30";"Lintasarta";128;"ADSL";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"KPP Wonosari-Lintasarta";113;1;"";"2018-11-30 03:47:53.225845"
158;"10.111.6.118/30";"10.111.6.117/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"UAD5-Lintasarta";157;1;"";"2018-11-30 03:47:53.225845"
159;"10.111.6.122/30";"10.111.6.121/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Pajangan-Lintasarta";134;1;"";"2018-11-30 03:47:53.225845"
160;"10.115.6.126/30";"10.115.6.125/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Pantirapih-ICON";135;2;"";"2018-11-30 03:47:53.225845"
161;"10.111.6.130/30";"10.111.6.129/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Instiper-Lintasarta";81;1;"";"2018-11-30 03:47:53.225845"
162;"10.111.6.142/30";"10.111.6.141/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Taspen-Lintasarta";133;1;"";"2018-11-30 03:47:53.225845"
163;"10.115.6.150/30";"10.115.6.149/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"PASTY-ICON";158;2;"";"2018-11-30 03:47:53.225845"
164;"10.115.6.154/30";"10.115.6.153/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Tugu Pensil-ICON";136;2;"";"2018-11-30 03:47:53.225845"
165;"10.111.6.158/30";"10.111.6.157/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"UMB-Lintasarta";83;1;"";"2018-11-30 03:47:53.225845"
166;"10.115.6.174/30";"10.115.6.173/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"KPPD Kulon Progo-ICON";84;2;"";"2018-11-30 03:47:53.225845"
167;"10.111.6.194/30";"10.111.6.193/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"UST-Lintasarta";138;1;"";"2018-11-30 03:47:53.225845"
168;"10.115.6.214/30";"10.115.6.213/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"RSUD Prambanan-ICON";130;2;"";"2018-11-30 03:47:53.225845"
169;"10.117.5.6/30";"10.117.5.5/30";"Telkom";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"UPTSA Wonosari 2-Telkom";154;3;"";"2018-11-30 03:47:53.225845"
170;"10.115.6.238/30";"10.115.6.237/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Pantirini-ICON";160;2;"";"2018-11-30 03:47:53.225845"
171;"10.115.6.134/30";"10.115.6.133/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Girimulyo-ICON";159;2;"";"2018-11-30 03:47:53.225845"
172;"10.115.5.126/30";"10.115.5.125/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Akprind-ICON";139;2;"";"2018-11-30 03:47:53.225845"
173;"10.117.5.130/30";"10.117.5.129/30";"Telkom";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"UTY-Telkom";140;3;"";"2018-11-30 03:47:53.225845"
174;"10.115.5.134/30";"10.115.5.133/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"RS Pratama-ICON";141;2;"";"2018-11-30 03:47:53.225845"
